Temperatur;Luftfeuchtigkeit;Timestamp
30.83467;57.36477;(2023, 8, 23, 13, 17, 43)
30.83467;57.42428;(2023, 8, 23, 13, 17, 44)
30.86137;57.41512;(2023, 8, 23, 13, 17, 45)
30.81865;57.44259;(2023, 8, 23, 13, 17, 46)
30.81865;57.42123;(2023, 8, 23, 13, 17, 47)
30.81865;57.44259;(2023, 8, 23, 13, 17, 48)
30.83467;57.48989;(2023, 8, 23, 13, 17, 49)
30.83467;57.52499;(2023, 8, 23, 13, 17, 50)
30.81865;57.51278;(2023, 8, 23, 13, 17, 51)
30.96017;57.27016;(2023, 8, 23, 13, 18, 24)
30.96017;57.24728;(2023, 8, 23, 13, 18, 25)
30.97353;57.2839;(2023, 8, 23, 13, 18, 26)
30.97353;57.25033;(2023, 8, 23, 13, 18, 27)
30.97353;57.2961;(2023, 8, 23, 13, 18, 28)
30.97353;57.21523;(2023, 8, 23, 13, 18, 29)
31.0029;57.25491;(2023, 8, 23, 13, 18, 30)
31.01625;57.22285;(2023, 8, 23, 13, 18, 31)
31.01625;57.19997;(2023, 8, 23, 13, 18, 32)
31.0029;57.1725;(2023, 8, 23, 13, 18, 33)
31.0029;57.18623;(2023, 8, 23, 13, 18, 34)
31.01625;57.16487;(2023, 8, 23, 13, 18, 35)
31.0296;57.15419;(2023, 8, 23, 13, 18, 36)
31.0296;57.14198;(2023, 8, 23, 13, 18, 37)
31.06165;57.13741;(2023, 8, 23, 13, 18, 38)
31.04562;57.0779;(2023, 8, 23, 13, 18, 39)
31.04562;57.0779;(2023, 8, 23, 13, 18, 40)
31.04562;57.12215;(2023, 8, 23, 13, 18, 41)
31.06165;57.06721;(2023, 8, 23, 13, 18, 42)
31.0296;57.07637;(2023, 8, 23, 13, 18, 43)
31.06165;57.10384;(2023, 8, 23, 13, 18, 44)
31.04562;57.0779;(2023, 8, 23, 13, 18, 45)
31.06165;57.0901;(2023, 8, 23, 13, 18, 46)
31.0296;57.07637;(2023, 8, 23, 13, 18, 47)
31.01625;57.09621;(2023, 8, 23, 13, 18, 48)
31.0296;57.13283;(2023, 8, 23, 13, 18, 49)
31.0296;57.13283;(2023, 8, 23, 13, 18, 50)
31.01625;57.17403;(2023, 8, 23, 13, 18, 51)
31.04562;57.1786;(2023, 8, 23, 13, 18, 52)
31.04562;57.26101;(2023, 8, 23, 13, 18, 53)
31.04562;57.30679;(2023, 8, 23, 13, 18, 54)
31.0296;57.29305;(2023, 8, 23, 13, 18, 55)
31.0296;57.24728;(2023, 8, 23, 13, 18, 56)
31.04562;57.16945;(2023, 8, 23, 13, 18, 57)
31.06165;57.14656;(2023, 8, 23, 13, 18, 58)
31.075;57.11452;(2023, 8, 23, 13, 18, 59)
31.04562;57.16945;(2023, 8, 23, 13, 19, 0)
31.04562;57.23812;(2023, 8, 23, 13, 19, 1)
31.0296;57.22438;(2023, 8, 23, 13, 19, 2)
31.0296;57.16792;(2023, 8, 23, 13, 19, 3)
31.06165;57.11299;(2023, 8, 23, 13, 19, 4)
31.0029;57.12825;(2023, 8, 23, 13, 19, 5)
31.01625;57.1313;(2023, 8, 23, 13, 19, 6)
31.0296;57.09926;(2023, 8, 23, 13, 19, 7)
31.0029;57.08095;(2023, 8, 23, 13, 19, 8)
31.0296;57.05043;(2023, 8, 23, 13, 19, 9)
31.0296;57.04128;(2023, 8, 23, 13, 19, 10)
31.0296;56.98177;(2023, 8, 23, 13, 19, 11)
31.04562;57.01839;(2023, 8, 23, 13, 19, 12)
31.04562;56.97261;(2023, 8, 23, 13, 19, 13)
31.01625;56.98024;(2023, 8, 23, 13, 19, 14)
31.0029;57.00008;(2023, 8, 23, 13, 19, 15)
31.01625;56.96803;(2023, 8, 23, 13, 19, 16)
31.01625;56.99092;(2023, 8, 23, 13, 19, 17)
31.0029;56.96651;(2023, 8, 23, 13, 19, 18)
31.01625;56.96803;(2023, 8, 23, 13, 19, 19)
30.97353;56.9955;(2023, 8, 23, 13, 19, 20)
30.96017;56.95888;(2023, 8, 23, 13, 19, 21)
30.97353;57.03212;(2023, 8, 23, 13, 19, 22)
30.96017;56.99397;(2023, 8, 23, 13, 19, 23)
30.96017;57.03975;(2023, 8, 23, 13, 19, 24)
30.96017;57.06416;(2023, 8, 23, 13, 19, 25)
30.94682;57.08553;(2023, 8, 23, 13, 19, 26)
30.93347;57.09163;(2023, 8, 23, 13, 19, 27)
30.94682;57.09468;(2023, 8, 23, 13, 19, 28)
30.93347;57.11757;(2023, 8, 23, 13, 19, 29)
30.94682;57.10536;(2023, 8, 23, 13, 19, 30)
30.94682;57.10536;(2023, 8, 23, 13, 19, 31)
30.94682;57.16335;(2023, 8, 23, 13, 19, 32)
30.96017;57.16487;(2023, 8, 23, 13, 19, 33)
30.93347;57.14046;(2023, 8, 23, 13, 19, 34)
30.96017;57.12215;(2023, 8, 23, 13, 19, 35)
30.93347;57.15114;(2023, 8, 23, 13, 19, 36)
30.93347;57.16029;(2023, 8, 23, 13, 19, 37)
30.94682;57.16335;(2023, 8, 23, 13, 19, 38)
30.93347;57.14046;(2023, 8, 23, 13, 19, 39)
30.91745;57.18318;(2023, 8, 23, 13, 19, 40)
30.93347;57.16029;(2023, 8, 23, 13, 19, 41)
30.91745;57.15877;(2023, 8, 23, 13, 19, 42)
30.91745;57.1725;(2023, 8, 23, 13, 19, 43)
30.94682;57.15419;(2023, 8, 23, 13, 19, 44)
30.91745;57.19234;(2023, 8, 23, 13, 19, 45)
30.91745;57.22897;(2023, 8, 23, 13, 19, 46)
30.89075;57.1786;(2023, 8, 23, 13, 19, 47)
30.9041;57.21523;(2023, 8, 23, 13, 19, 48)
30.9041;57.23812;(2023, 8, 23, 13, 19, 49)
30.89075;57.2366;(2023, 8, 23, 13, 19, 50)
30.91745;57.22897;(2023, 8, 23, 13, 19, 51)
30.91745;57.25033;(2023, 8, 23, 13, 19, 54)
30.91745;57.22897;(2023, 8, 23, 13, 19, 55)
30.96017;57.25948;(2023, 8, 23, 13, 19, 56)
30.93347;57.20912;(2023, 8, 23, 13, 19, 57)
30.94682;57.22285;(2023, 8, 23, 13, 19, 58)
30.91745;57.25033;(2023, 8, 23, 13, 19, 59)
30.97353;57.25948;(2023, 8, 23, 13, 20, 0)
30.96017;57.2366;(2023, 8, 23, 13, 20, 1)
30.96017;57.25948;(2023, 8, 23, 13, 20, 2)
30.98955;57.22897;(2023, 8, 23, 13, 20, 3)
30.97353;57.18166;(2023, 8, 23, 13, 20, 4)
30.97353;57.19234;(2023, 8, 23, 13, 20, 5)
30.97353;57.15877;(2023, 8, 23, 13, 20, 6)
30.94682;57.14198;(2023, 8, 23, 13, 20, 7)
30.96017;57.12215;(2023, 8, 23, 13, 20, 8)
30.96017;57.12215;(2023, 8, 23, 13, 20, 9)
30.96017;57.14503;(2023, 8, 23, 13, 20, 10)
30.96017;57.09621;(2023, 8, 23, 13, 20, 11)
30.94682;57.21065;(2023, 8, 23, 13, 20, 12)
30.93347;57.18623;(2023, 8, 23, 13, 20, 13)
30.93347;57.20912;(2023, 8, 23, 13, 20, 14)
30.94682;57.22285;(2023, 8, 23, 13, 20, 15)
30.94682;57.24575;(2023, 8, 23, 13, 20, 16)
30.93347;57.20912;(2023, 8, 23, 13, 20, 17)
30.96017;57.2137;(2023, 8, 23, 13, 20, 18)
30.93347;57.20912;(2023, 8, 23, 13, 20, 19)
30.93347;57.2427;(2023, 8, 23, 13, 20, 20)
30.94682;57.25643;(2023, 8, 23, 13, 20, 21)
30.91745;57.24117;(2023, 8, 23, 13, 20, 22)
30.93347;57.27779;(2023, 8, 23, 13, 20, 23)
30.94682;57.30221;(2023, 8, 23, 13, 20, 24)
30.91745;57.27474;(2023, 8, 23, 13, 20, 25)
30.94682;57.29153;(2023, 8, 23, 13, 20, 26)
30.93347;57.27779;(2023, 8, 23, 13, 20, 27)
30.9041;57.26101;(2023, 8, 23, 13, 20, 28)
30.91745;57.22897;(2023, 8, 23, 13, 20, 29)
30.9041;57.19234;(2023, 8, 23, 13, 20, 30)
